09:04:16.152 /home/macfly/Git/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0

09:04:16.646 Rime started with address 1.0

09:04:16.657 MAC 01:00:00:00:00:00:00:00 Ref ID: 3617

09:04:16.657 Contiki-2.6-2121-gdf2cdbb started. Node id is set to 1.

09:04:16.666 nullmac ContikiMAC, channel check rate 8 Hz, radio channel 26

09:04:16.666 Starting 'Net test'

09:04:17.301 RX 2.0 MSG 2 1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890

09:04:24.172 RX 3.0 MSG 0 12345678901234567890123456789012345678901

09:04:25.672 RX 3.0 MSG 1 12345678901234567890123456789012345678901

09:04:27.672 RX 3.0 MSG 2 12345678901234567890123456789012345678901

09:04:29.047 RX 3.0 MSG 3 12345678901234567890123456789012345678901

09:04:31.922 RX 3.0 MSG 4 12345678901234567890123456789012345678901

09:04:35.047 RX 3.0 MSG 6 12345678901234567890123456789012345678901

09:04:36.672 RX 3.0 MSG 7 12345678901234567890123456789012345678901

09:04:39.172 RX 3.0 MSG 8 12345678901234567890123456789012345678901

09:04:41.172 RX 3.0 MSG 9 12345678901234567890123456789012345678901

09:04:44.922 RX 3.0 MSG 11 12345678901234567890123456789012345678901

09:04:46.547 RX 3.0 MSG 12 12345678901234567890123456789012345678901

09:04:48.422 RX 3.0 MSG 13 12345678901234567890123456789012345678901

09:04:52.547 RX 3.0 MSG 15 12345678901234567890123456789012345678901

09:04:53.672 RX 3.0 MSG 16 12345678901234567890123456789012345678901

09:04:56.172 RX 3.0 MSG 17 12345678901234567890123456789012345678901

09:04:58.297 RX 3.0 MSG 18 12345678901234567890123456789012345678901

09:05:00.047 RX 3.0 MSG 19 12345678901234567890123456789012345678901

09:05:02.797 RX 3.0 MSG 20 12345678901234567890123456789012345678901

09:05:07.547 RX 3.0 MSG 22 12345678901234567890123456789012345678901

09:05:12.172 RX 3.0 MSG 24 12345678901234567890123456789012345678901

09:05:14.672 RX 3.0 MSG 25 12345678901234567890123456789012345678901

09:05:15.922 RX 3.0 MSG 26 12345678901234567890123456789012345678901

09:05:17.422 RX 3.0 MSG 27 12345678901234567890123456789012345678901

09:05:19.047 RX 3.0 MSG 28 12345678901234567890123456789012345678901

09:05:21.172 RX 3.0 MSG 29 12345678901234567890123456789012345678901

09:05:27.297 RX 3.0 MSG 32 12345678901234567890123456789012345678901

09:05:29.922 RX 3.0 MSG 33 12345678901234567890123456789012345678901

09:05:32.172 RX 3.0 MSG 34 12345678901234567890123456789012345678901

09:05:34.672 RX 3.0 MSG 35 12345678901234567890123456789012345678901

09:05:39.297 RX 3.0 MSG 37 12345678901234567890123456789012345678901

09:05:41.797 RX 3.0 MSG 38 12345678901234567890123456789012345678901

09:05:44.797 RX 3.0 MSG 39 12345678901234567890123456789012345678901

09:05:49.922 RX 3.0 MSG 41 12345678901234567890123456789012345678901

09:05:51.422 RX 3.0 MSG 42 12345678901234567890123456789012345678901

09:05:53.922 RX 3.0 MSG 43 12345678901234567890123456789012345678901

09:05:56.547 RX 3.0 MSG 44 12345678901234567890123456789012345678901

09:05:57.797 RX 3.0 MSG 45 12345678901234567890123456789012345678901

09:05:59.797 RX 3.0 MSG 46 12345678901234567890123456789012345678901

09:06:01.797 RX 3.0 MSG 47 12345678901234567890123456789012345678901

09:06:03.172 RX 3.0 MSG 48 12345678901234567890123456789012345678901

09:06:07.797 RX 3.0 MSG 50 12345678901234567890123456789012345678901

09:06:10.047 RX 3.0 MSG 51 12345678901234567890123456789012345678901

09:06:11.297 RX 3.0 MSG 52 12345678901234567890123456789012345678901

09:06:15.297 RX 3.0 MSG 54 12345678901234567890123456789012345678901

09:06:20.172 RX 3.0 MSG 56 12345678901234567890123456789012345678901

09:06:22.547 RX 3.0 MSG 57 12345678901234567890123456789012345678901

09:06:25.297 RX 3.0 MSG 58 12345678901234567890123456789012345678901

09:06:26.922 RX 3.0 MSG 59 12345678901234567890123456789012345678901

09:06:28.172 RX 3.0 MSG 60 12345678901234567890123456789012345678901

09:06:29.422 RX 3.0 MSG 61 12345678901234567890123456789012345678901

09:06:34.172 RX 3.0 MSG 63 12345678901234567890123456789012345678901

09:06:35.797 RX 3.0 MSG 64 12345678901234567890123456789012345678901

09:06:40.172 RX 3.0 MSG 66 12345678901234567890123456789012345678901

09:06:41.672 RX 3.0 MSG 67 12345678901234567890123456789012345678901

09:06:43.672 RX 3.0 MSG 68 12345678901234567890123456789012345678901

09:06:45.547 RX 3.0 MSG 69 12345678901234567890123456789012345678901

09:06:47.172 RX 3.0 MSG 70 12345678901234567890123456789012345678901

09:06:48.297 RX 3.0 MSG 71 12345678901234567890123456789012345678901

09:06:49.922 RX 3.0 MSG 72 12345678901234567890123456789012345678901

09:06:53.422 RX 3.0 MSG 74 12345678901234567890123456789012345678901

09:06:55.422 RX 3.0 MSG 75 12345678901234567890123456789012345678901

09:06:57.047 RX 3.0 MSG 76 12345678901234567890123456789012345678901

09:07:00.922 RX 3.0 MSG 78 12345678901234567890123456789012345678901

09:07:02.797 RX 3.0 MSG 79 12345678901234567890123456789012345678901

09:07:06.422 RX 3.0 MSG 81 12345678901234567890123456789012345678901

09:07:08.422 RX 3.0 MSG 82 12345678901234567890123456789012345678901

09:07:10.922 RX 3.0 MSG 83 12345678901234567890123456789012345678901

09:07:13.297 RX 3.0 MSG 84 12345678901234567890123456789012345678901

09:07:15.172 RX 3.0 MSG 85 12345678901234567890123456789012345678901

09:07:17.172 RX 3.0 MSG 86 12345678901234567890123456789012345678901

09:07:20.047 RX 3.0 MSG 87 12345678901234567890123456789012345678901

09:07:22.672 RX 3.0 MSG 88 12345678901234567890123456789012345678901

09:07:25.797 RX 3.0 MSG 90 12345678901234567890123456789012345678901

09:07:28.172 RX 3.0 MSG 91 12345678901234567890123456789012345678901

09:07:30.547 RX 3.0 MSG 92 12345678901234567890123456789012345678901

09:07:32.172 RX 3.0 MSG 93 12345678901234567890123456789012345678901

09:07:34.922 RX 3.0 MSG 94 12345678901234567890123456789012345678901

09:07:37.422 RX 3.0 MSG 95 12345678901234567890123456789012345678901

09:07:39.922 RX 3.0 MSG 96 12345678901234567890123456789012345678901

09:07:41.672 RX 3.0 MSG 97 12345678901234567890123456789012345678901

09:07:43.297 RX 3.0 MSG 98 12345678901234567890123456789012345678901

09:07:46.672 RX 3.0 MSG 100 12345678901234567890123456789012345678901

09:07:51.172 RX 3.0 MSG 102 12345678901234567890123456789012345678901

09:07:52.297 RX 3.0 MSG 103 12345678901234567890123456789012345678901

09:07:54.047 RX 3.0 MSG 104 12345678901234567890123456789012345678901

09:07:55.797 RX 3.0 MSG 105 12345678901234567890123456789012345678901

09:08:01.422 RX 3.0 MSG 107 12345678901234567890123456789012345678901

09:08:05.172 RX 3.0 MSG 109 12345678901234567890123456789012345678901

09:08:07.672 RX 3.0 MSG 110 12345678901234567890123456789012345678901

09:08:08.797 RX 3.0 MSG 111 12345678901234567890123456789012345678901

09:08:09.922 RX 3.0 MSG 112 12345678901234567890123456789012345678901

09:08:16.672 RX 3.0 MSG 116 12345678901234567890123456789012345678901

09:08:27.672 RX 3.0 MSG 122 12345678901234567890123456789012345678901

09:08:30.172 RX 3.0 MSG 123 12345678901234567890123456789012345678901

09:08:31.547 RX 3.0 MSG 124 12345678901234567890123456789012345678901

09:08:34.172 RX 3.0 MSG 125 12345678901234567890123456789012345678901

09:08:35.797 RX 3.0 MSG 126 12345678901234567890123456789012345678901

09:08:39.297 RX 3.0 MSG 128 12345678901234567890123456789012345678901

09:08:42.047 RX 3.0 MSG 129 12345678901234567890123456789012345678901

09:08:47.172 RX 3.0 MSG 132 12345678901234567890123456789012345678901

09:08:48.297 RX 3.0 MSG 133 12345678901234567890123456789012345678901

09:08:53.797 RX 3.0 MSG 136 12345678901234567890123456789012345678901

09:08:58.422 RX 3.0 MSG 139 12345678901234567890123456789012345678901

09:09:02.547 RX 3.0 MSG 141 12345678901234567890123456789012345678901

09:09:04.797 RX 3.0 MSG 142 12345678901234567890123456789012345678901

09:09:09.547 RX 3.0 MSG 144 12345678901234567890123456789012345678901

09:09:11.922 RX 3.0 MSG 146 12345678901234567890123456789012345678901

09:09:14.047 RX 3.0 MSG 147 12345678901234567890123456789012345678901

09:09:16.922 RX 3.0 MSG 148 12345678901234567890123456789012345678901

